Date,Normal,Student-t,Historical,GARCH-CCC,FHS-EWMA
2012-04-13,2.8284112330082656,3.168999142992702,3.4371590906609772,2.2886717275671047,2.3400131412591656
2012-04-16,2.8401320802790186,3.181262007811285,3.4371590906609772,2.342010616308288,1.964118921377369
2012-04-17,2.821872360994205,3.161675666206119,3.4371590906609772,2.2886799875872965,2.4533097919913947
2012-04-18,2.8232529554518595,3.1637901203193803,3.4371590906609772,2.3802024689524357,2.5854329902241746
2012-04-19,2.832942059507616,3.1740011937507204,3.4371590906609772,2.4428790055226703,2.700347009210087
2012-04-20,2.836512355995749,3.1776611032668662,3.4371590906609772,2.3785329774694723,2.6147770502879277
2012-04-23,2.8365121680252985,3.177669452647419,3.4371590906609772,2.6204286361523055,2.9666433754849457
2012-04-24,2.8405404655114945,3.181950881992825,3.4371590906609772,2.4504495314434296,2.7109945770264554
2012-04-25,2.8380018459608873,3.179401070193391,3.4371590906609772,2.3259351286527385,2.7136780755008134
2012-04-26,2.8389474321920996,3.181303065392432,3.4371590906609772,2.3986743087500315,2.924451810318803
2012-04-27,2.8348601067185157,3.177115355456269,3.4371590906609772,2.3375960055294214,2.881233597475914
2012-04-30,2.8350156305987033,3.177242354121894,3.4371590906609772,2.2852055831009053,2.8073145944531457
2012-05-01,2.8373504510379863,3.179707274999756,3.4371590906609772,2.266508428889122,2.7816736615030444
2012-05-02,2.8370507708920667,3.179515431504257,3.4371590906609772,2.2391740850119404,2.5150031992181523
2012-05-03,2.830658581278517,3.1727750813939086,3.4371590906609772,2.2101459024999923,2.3476020933429886
2012-05-04,2.8394160311424304,3.181819455124437,3.4371590906609772,2.243831598760218,2.245890515447118
2012-05-07,2.8570288966569355,3.200201162149426,3.4371590906609772,2.4645516358530153,2.6860954337432683
2012-05-08,2.8599298818866536,3.2030536597018333,3.4371590906609772,2.367789233483246,2.8217222491201
2012-05-09,2.862259587305003,3.2054749558416646,3.4371590906609772,2.295191527162219,2.3361914195962514
2012-05-10,2.863112276438297,3.2058724443292665,3.4371590906609772,2.2575899388394594,2.588957668020138
2012-05-11,2.8640907637175608,3.2067780228759135,3.4371590906609772,2.2027999094563877,2.380185823976067
2012-05-14,2.864736221721775,3.2071239299543786,3.4371590906609772,2.192566719970671,2.4286867752928227
2012-05-15,2.8710537706277175,3.2138954037614273,3.4371590906609772,2.2462929946558896,2.602921084525592
2012-05-16,2.875768101827794,3.2188175209484333,3.4371590906609772,2.2045987176478223,2.604121553044904
2012-05-17,2.8780889479471963,3.221196457095847,3.4371590906609772,2.178552875930868,2.503535587690391
2012-05-18,2.8832247761071392,3.2266882229653753,3.4371590906609772,2.237105884069163,2.3081708809826056
2012-05-21,2.8815420510579206,3.224888691028972,3.4371590906609772,2.2350666109117348,2.500112891666367
2012-05-22,2.883677545158223,3.2276829279272894,3.4371590906609772,2.323555141755229,3.018193176030872
2012-05-23,2.8836172351858593,3.22762150124088,3.4371590906609772,2.22744729764842,2.0900656389669257
2012-05-24,2.88691961535747,3.230821471738823,3.4371590906609772,2.2757973985068474,2.1082051544196836
2012-05-25,2.879693848607278,3.2232349217422067,3.4371590906609772,2.167804791871785,2.7679090271274998
2012-05-30,2.882840029397083,3.2264102751085697,3.4371590906609772,2.1205859671137697,2.0215749598068764
2012-05-31,2.885901448414251,3.229719627465598,3.4371590906609772,2.2085548107067363,2.5472607705875085
2012-06-01,2.8841458722920486,3.2278666570709516,3.4371590906609772,2.162586337493316,2.8991428184835484
2012-06-04,2.905298539812047,3.250608143096299,3.4371590906609772,2.5117990819502216,3.141266856340673
2012-06-05,2.9069815251617728,3.2521276819833824,3.4371590906609772,2.3884009512771014,3.5694655302003873
2012-06-06,2.9065382523938177,3.251770282794207,3.4371590906609772,2.3452587070134157,2.6520602969521896
2012-06-07,2.911133256428776,3.2582859907459105,3.4371590906609772,2.6545734314778002,2.3152271592060574
2012-06-08,2.8996067357473754,3.246013119469552,3.4371590906609772,2.492564179561669,2.888729511773275
2012-06-11,2.8983510930010516,3.2450309042630816,3.4371590906609772,2.4605265505827063,2.8683621584101253
