Date,IBM,MSFT,MTOR,SP500,EURUSD,Loan,Portfolio_PnL,Loss
2011-03-30,884.08644400784,941.5457041977199,2508.9605734767,1343.97740184138,53.229240596145,9.523809523809524,5741.323173643595,-5741.323173643595
2011-03-31,-647.92176039118,-1718.07887543928,-15234.76523476523,-348.92196658956,936.50230578216,9.464285714285715,-17003.721245688805,17003.721245688805
2011-04-01,1471.7605936101002,708.94052776682,-2651.73836181496,977.99721859922,338.43333568357497,9.345238095238095,854.7385519399929,-854.7385519399929
2011-04-04,-24.35015523222,549.45054945054,1815.98062953995,83.89049120336,63.313401336585,9.285714285714286,2497.570630583929,-2497.570630583929
2011-04-05,-316.5905631659,1800.39138943248,535.07728894173,17.7117877963768,94.93003304971501,9.345238095238095,2140.86517414964,-2140.86517414964
2011-04-06,60.97932800780001,2870.44220325832,532.22945002956,520.4614758199799,1085.73436401966,9.285714285714286,5079.132535421035,-5079.132535421035
2011-04-07,414.53304072176,382.40917782025997,-3352.94117647058,-299.50135109576,-481.40654433822,9.166666666666666,-3327.740186695874,3327.740186695874
2011-04-08,-401.50869935514004,-992.36641221374,-2678.0279975654203,-806.73011135486,1574.8582627563449,9.166666666666666,-3294.6082910661494,3294.6082910661494
2011-04-11,-121.91405059431999,-690.4487917146,-1626.0162601626,-554.63458383064,176.62949366210998,9.226190476190476,-2807.15800216386,2807.15800216386
2011-04-12,-853.9188777066,-2617.3979984603397,-381.43674507310004,-1515.21509885694,10.37775010376274,9.226190476190476,-5348.364779517026,5348.364779517026
2011-04-13,857.58039816232,-78.00312012479999,2616.46458200382,88.3191008469,228.29470771359001,9.285714285714286,3721.941382887544,-3721.941382887544
2011-04-14,1244.28179322964,-1638.7046429964798,-2363.18407960199,9.6850444947204,-134.69641500310502,9.345238095238095,-2873.273061781976,2873.273061781976
2011-04-15,1503.3036309632,-393.3910306845,828.0254777069999,762.82990118134,-217.78207964601,9.345238095238095,2492.331137616268,-2492.331137616268
2011-04-18,-324.89019914564,-2286.16476152936,-1389.76626658243,-2207.59674788032,-2409.4717164024,9.345238095238095,-8608.544453444913,8608.544453444913
2011-04-19,-650.83765216342,558.21371610844,3907.7514413837202,1122.48735647132,1139.962001266605,9.285714285714286,6086.862577352381,-6086.862577352381
2011-04-20,-785.97339782344,4850.8946322067395,2219.4821208384697,2715.1905931405,2032.26482296251,9.285714285714286,11041.144485610494,-11041.144485610494
2011-04-21,4285.28072837632,-1863.35403726708,482.50904704463,1024.49337360874,744.1604079101251,9.285714285714286,4682.37523395845,-4682.37523395845
2011-04-25,-724.98217256952,705.329153605,-660.26410564225,-341.46497895916,319.69749054657,9.345238095238095,-692.339374924122,692.339374924122
2011-04-26,978.11176716168,4529.48067161264,2114.80362537764,1791.0411166033798,504.25356750822,9.345238095238095,9927.035986358798,-9927.035986358798
2011-04-27,2231.58644429936,1450.93547155402,-1538.4615384615302,1307.37640673446,348.717948717945,9.285714285714286,3809.4404471299695,-3809.4404471299695
2011-04-28,481.30539414215997,2501.8953752843,2884.6153846153798,710.60304527126,1289.3103213042898,9.166666666666666,7876.896187284056,-7876.896187284056
2011-04-29,-234.21946363742,-5915.3874953201,525.70093457943,460.61898640234,365.23503550897505,9.166666666666666,-4788.885335800108,4788.885335800108
