,VaR (%),ES (%)
Normal Variance-Covariance,2.1513355346818104,2.4707961304745343
Student-t (ν=5),2.415409934223359,3.2095432091960423
Historical Simulation,2.674781211290706,3.755747058811068
"GARCH(1,1) + CCC",1.4466120956156154,1.6634194899604293
FHS with EWMA,2.197575614583994,2.737817027486618
