Date,EURUSD,Loan,IBM,MSFT,MTOR,SP500
2011-03-30,0.0003548616039743546,6.349206349206349e-05,0.004420432220039293,0.004707728520988623,0.025089605734767026,0.006719887009206965
2011-03-31,0.00624334870521448,6.30952380952381e-05,-0.00323960880195599,-0.008590394377196407,-0.15234765234765235,-0.00174460983294784
2011-04-01,0.0022562222378905705,6.23015873015873e-05,0.00735880296805053,0.003544702638834187,-0.026517383618149676,0.004889986092996142
2011-04-04,0.00042208934224396977,6.19047619047619e-05,-0.000121750776161198,0.002747252747252747,0.018159806295399514,0.000419452456016898
2011-04-05,0.0006328668869981513,6.23015873015873e-05,-0.001582952815829528,0.009001956947162427,0.00535077288941736,8.8558938981884e-05
2011-04-06,0.007238229093464499,6.19047619047619e-05,0.000304896640039027,0.014352211016291699,0.005322294500295683,0.002602307379099988
2011-04-07,-0.003209376962254873,6.111111111111111e-05,0.002072665203608876,0.001912045889101338,-0.033529411764705884,-0.001497506755478889
2011-04-08,0.010499055085042341,6.111111111111111e-05,-0.002007543496775763,-0.004961832061068702,-0.02678027997565429,-0.004033650556774348
2011-04-11,0.0011775299577474474,6.150793650793651e-05,-0.000609570252971655,-0.003452243958573072,-0.016260162601626015,-0.00277317291915321
2011-04-12,6.91850006917516e-05,6.150793650793651e-05,-0.004269594388533089,-0.01308698999230177,-0.003814367450731087,-0.007576075494284794
2011-04-13,0.0015219647180906293,6.19047619047619e-05,0.004287901990811639,-0.000390015600624025,0.02616464582003829,0.000441595504234558
2011-04-14,-0.0008979761000207365,6.23015873015873e-05,0.006221408966148216,-0.008193523214982443,-0.0236318407960199,4.8425222473602e-05
2011-04-15,-0.0014518805309734484,6.23015873015873e-05,0.007516518154816027,-0.001966955153422502,0.008280254777070064,0.00381414950590678
2011-04-18,-0.016063144776016003,6.23015873015873e-05,-0.001624450995728296,-0.011430823807646828,-0.013897662665824383,-0.01103798373940161
2011-04-19,0.007599746675110763,6.19047619047619e-05,-0.003254188260817163,0.002791068580542265,0.039077514413837285,0.005612436782356697
2011-04-20,0.013548432153083434,6.19047619047619e-05,-0.003929866989117291,0.024254473161033796,0.02219482120838471,0.01357595296570259
2011-04-21,0.0049610693860675514,6.19047619047619e-05,0.021426403641881638,-0.009316770186335404,0.004825090470446321,0.005122466868043733
2011-04-25,0.0021313166036438513,6.23015873015873e-05,-0.003624910862847635,0.003526645768025078,-0.006602641056422569,-0.001707324894795848
2011-04-26,0.003361690450054855,6.23015873015873e-05,0.004890558835808433,0.022647403358063256,0.021148036253776436,0.008955205583016988
2011-04-27,0.0023247863247863876,6.19047619047619e-05,0.011157932221496825,0.007254677357770141,-0.015384615384615385,0.006536882033672304
2011-04-28,0.008595402142028696,6.111111111111111e-05,0.002406526970710806,0.012509476876421531,0.028846153846153844,0.003553015226356389
2011-04-29,0.002434900236726545,6.111111111111111e-05,-0.001171097318187141,-0.029576937476600524,0.005257009345794393,0.002303094932011739
2011-05-02,0.0033061196950274763,6.150793650793651e-05,0.009203892601711807,-0.010030864197530864,0.004648460197559558,-0.001739661385833467
2011-05-03,0.00033624747814386957,6.0714285714285715e-05,0.004182399070577984,0.005845674201091193,-0.007518796992481203,-0.00334050699602112
2011-05-04,-0.0010756302521008898,6.0714285714285715e-05,-0.01301556082605426,0.009686168151879117,-0.02564102564102564,-0.006526737282897537
2011-05-05,-0.018574601251766687,6.0317460317460316e-05,-0.012659711639901537,-0.010360706062931695,0.008373205741626795,-0.008979030024738335
2011-05-06,-0.006034423643969,6.0317460317460316e-05,0.007004630179271044,0.003101977510663048,0.022538552787663108,0.003919479000118797
2011-05-09,-0.013383925491548876,6.0714285714285715e-05,0.001243412872283735,-0.00154619250096637,-0.001160092807424594,0.004443751446750635
2011-05-10,0.003985735263268397,6.0714285714285715e-05,0.007569485511531638,-0.006194347657762292,0.03484320557491289,0.008069509932562719
2011-05-11,-0.006198634907368605,6.0714285714285715e-05,-0.005164925460734828,-0.012076353720296066,-0.02861952861952862,-0.010324449076519372
2011-05-12,-0.0028032798374098,6.0317460317460316e-05,0.01616519174041298,-0.001577287066246057,-0.006354708261120739,0.005202911160889712
2011-05-13,-0.006184552674116328,6.0714285714285715e-05,-0.013469577333952624,-0.011453396524486572,-0.023255813953488372,-0.008048523919679517
2011-05-16,0.005515875822077687,6.111111111111111e-05,-0.006238229755178908,-0.01837794646424291,-0.006547619047619048,-0.006157160509876948
2011-05-17,-0.004501019762289893,6.111111111111111e-05,0.00971218761103873,0.004477004477004477,-0.012582384661473937,-0.000167115643454284
