,VaR_N (%),ES_N (%),VaR_t (%),ES_t (%),VaR_HS (%),ES_HS (%)
EURUSD,1.217845470990535,1.394930094262295,1.3642282054322907,1.8044352096080143,1.41748731721874,1.7135242945464861
Loan,0.0,3.150446962014303e-05,0.0,0.002484384771670213,0.0,0.0
IBM,3.3772145112620415,3.871195481229851,3.7855519705518237,5.013517893802173,4.40747028862478,6.336465758708252
MSFT,3.697068031664658,4.2514825101746405,4.155361393781398,5.5335563615171734,4.118544345173239,6.141200710857994
MTOR,7.450940021186017,8.543614729781417,8.354173225426909,11.070406013584915,8.71848739495798,11.483680443316034
SP500,2.5217263553261318,2.8972232876175212,2.832121841437601,3.7655534211377626,3.2405915044730804,4.8225400244998475
